Id do usuario;Score médio das perguntas;Score médio das respostas;Reputação 
14028;4,84;1,67;10480
12398;469,25;2,25;118
18308;6,97;0,78;12564
3295;0,56;6,93;46000
4126;0,41;0,87;4167
6512;0,50;3,17;34927
13005;27,70;18,44;247089
12568;0,00;1,44;1444
14755;4,75;1,73;62010
18415;1,66;1,98;1567
3394;4,45;13,16;32867
17670;0,00;22,25;1004
2267;4,53;10,16;1116
17221;4,00;11,12;20803
15623;9,50;1,85;1189
15352;2,51;0,76;20375
1095;2,31;1,13;181
10649;0,00;3,63;171
11917;1,21;2,12;28753
11434;0,10;0,83;378
10326;8,50;1,58;289
12081;3,69;0,37;2034
686;12,56;6,84;4138
3114;3,79;0,45;8282
2300;0,00;2,64;559
4495;1,50;1,30;3437
12756;0,88;0,00;43
4970;18,00;13,98;1588
14322;4,06;0,00;247
9305;0,00;3,00;76
13224;4,50;0,00;101
4040;0,00;12,43;6168
10786;3,68;32,69;5393
15048;2,64;1,95;999
4180;1,00;1,00;88
14921;25,25;-3,50;705
18144;3,63;5,67;1342
6340;2,11;16,64;62643
1508;1,45;1,33;19094
16828;7,12;5,35;12015
15537;4,48;1,47;108046
14706;9,00;0,00;189
5101;6,97;4,98;5439
16161;2,13;1,50;231
12559;5,26;16,99;10248
12291;2,95;8,91;5148
993;11,64;4,68;8748
11709;1,92;1,08;6646
10184;45,96;3,28;10454
18615;2,18;3,59;9553
3121;11,01;2,26;6455
5812;2,93;4,14;21335
2282;0,20;1,32;253
152;6,63;47,30;4033
7418;9,50;0,82;15045
6085;4,16;2,06;2567
18818;2,58;1,82;7472
11254;-0,50;0,00;1
3655;6,83;2,76;8040
102;2,95;4,67;12927
6343;2,62;0,63;316
4038;2,73;0,53;12427
2227;8,00;0,50;580
3171;3,78;5,67;171102
1635;1,01;0,56;2835
896;2,06;1,29;655
13435;2,54;1,48;11606
8555;0,00;1,50;31
11394;0,59;3,31;151
8689;8,88;5,65;924
15038;28,25;1,00;1061
5348;31,00;1,81;3679
18955;3,88;1,81;235
12717;28,00;0,00;563
7545;5,80;2,38;2842
7434;1,37;2,21;165
832;2,65;1,78;26997
16545;0,00;0,14;853
11506;3,18;1,07;1425
9434;43,50;1,03;3479
17494;4,64;0,00;799
15515;1,41;8,38;1141
6916;4,13;0,75;343
8429;0,00;2,76;1498
5;4,16;39,18;48378
2146;3,50;2,30;2178
12814;0,00;-0,50;11
380;4,82;2,26;10907
7381;294,00;0,83;12662
7525;1,50;3,88;840
9263;0,00;3,99;823
4527;2,00;1,43;2814
13205;38,50;0,00;773
3988;0,50;1,94;283
9617;4,50;6,20;10831
503;11,25;0,00;243
12375;1,00;1,28;116
8714;1,00;0,00;279
2582;2,32;2,46;3783
13434;0,00;1,49;37
3837;6,50;54,75;2046
14717;15,50;4,19;697
4155;1,50;3,10;792
3350;0,50;0,50;23
618;7,11;18,39;13276
14627;3,68;0,15;965
3913;20,00;15,00;801
736;4,23;3,45;42474
9648;2,22;0,54;10955
2603;9,84;5,35;93595
17967;4,94;3,13;4320
1554;18,81;3,35;55348
10176;2,48;3,79;13066
8621;1,99;0,17;4150
2472;23,25;2,86;3972
10624;3,00;4,87;1669
6056;2,50;0,50;1873
12513;1,50;0,00;33
20;4,18;1,55;12596
4998;1,54;0,70;30571
16139;0,70;0,31;12888
11927;3,23;1,36;6246
13552;2,34;10,63;115562
14441;12,99;-0,50;8601
15626;2,03;0,74;1642
12683;0,00;1,28;327
10221;2,32;2,98;2253
12085;2,87;2,83;4298
1265;1,85;14,37;11670
13828;4,29;0,78;4113
4458;2,20;1,81;1636
9951;4,68;0,77;478727
13354;2,19;4,13;291
8842;0,00;0,50;356
1261;3,97;0,56;1085
4683;14,50;1,39;1217
10233;0,00;2,00;111
2476;2,93;9,50;8256
18158;5,18;5,68;6739
8205;7,85;14,49;29498
1227;4,50;1,09;1848
11786;0,00;2,64;784
5487;6,03;39,38;3794
12815;15,25;0,83;1770
11627;3,08;5,06;706
18298;0,00;4,00;127
4859;2,59;0,00;806
8207;2,60;3,43;16105
500;0,00;5,00;128
4318;0,49;2,38;2666
6186;5,00;3,39;944
15616;58,96;9,00;60967
15155;0,00;0,89;1028
6678;2,65;0,51;12862
7012;9,61;5,37;43990
9748;3,46;4,32;2172
7498;5,86;1,01;45231
16534;3,09;1,41;28992
8683;4,34;11,92;19354
1702;4,49;2,44;20203
1956;0,50;0,50;21
8239;0,56;0,10;2546
1964;0,00;1,00;21
1185;1,74;7,00;13203
11753;8,25;2,50;293
17177;12,00;0,00;275
3807;16,63;-0,09;2523
14928;0,00;2,50;119
13827;0,00;1,55;2329
11498;0,82;0,36;449
18973;5,14;1,48;3124
3756;4,19;0,50;2571
2491;2,65;2,48;6872
341;2,75;12,07;16920
9822;2,09;1,25;14013
16785;2,25;1,63;1067
4140;1,94;4,10;9076
16660;0,00;1,00;31
15114;2,13;4,02;11319
17640;1,99;2,21;831
6163;0,75;0,00;51
7237;0,00;1,53;91
2564;2,25;3,74;429
8797;4,06;0,92;1666
18052;0,63;0,00;65
1771;4,40;2,99;2412
352;2,75;1,56;405
17194;1,33;0,73;9787
16590;1,75;0,76;1802
4760;1,38;1,97;158
2665;2,66;1,41;805
6848;4,25;2,33;14138
13270;0,00;0,63;29
13209;6,63;0,86;4178
5853;5,39;3,73;7364
10747;11,50;1,59;740
2774;7,70;1,23;38530
13229;0,00;1,63;71
7603;2,18;0,72;4604
195;3,09;2,66;1998
5856;0,00;7,42;14761
5608;0,00;5,25;146
11694;6,01;0,88;33199
6246;0,00;1,00;21
12533;0,00;0,00;59
571;2,43;0,77;24949
14957;0,50;5,58;6336
11464;0,83;1,07;6824
11039;7,03;0,63;854
8758;0,00;0,13;11
15904;2,96;2,19;2987
2226;2,00;0,00;29
7445;0,75;1,38;161
16671;2,48;1,38;790
91;2,34;8,15;160768
15314;27,50;0,00;4391
14838;7,41;1,17;2541
7549;0,00;4,09;1897
9508;0,00;0,00;31
9660;1,74;3,01;2870
3445;5,25;2,93;20743
1573;6,13;15,85;1793
13145;2,33;6,08;3576
9334;0,00;5,25;471
14091;2,38;12,44;2299
5692;1,92;3,22;807
5447;0,55;4,59;1637
4398;2,29;0,88;2435
2645;0,55;8,56;1080
10315;0,00;2,00;61
979;0,68;0,96;1414
14073;0,00;3,15;1019
7841;5,37;6,44;7634
13341;42,63;4,35;2320
10031;8,84;1,81;1428
16771;2,74;7,30;1866
2972;2,28;0,37;17799
2617;0,63;2,14;2776
14558;5,13;7,42;25601
18829;3,50;5,97;5337
3175;5,99;4,65;3497
9925;3,75;2,41;2445
11351;1,00;0,00;21
725;3,30;2,09;731
894;3,40;11,56;1918
11895;0,33;0,14;1296
12786;0,00;11,20;682
13523;6,52;9,43;17246
18128;0,28;1,08;1753
12707;1,75;1,71;72892
15625;2,07;1,82;28629
17582;29,00;0,00;583
16387;3,21;2,16;4686
441;9,50;1,59;481
8728;1,36;20,81;1172
14444;0,00;2,36;52711
3779;3,76;4,71;7832
11429;7,57;4,43;5778
810;7,96;2,31;34801
4803;3,75;11,37;1369
4072;19,00;30,88;479
11238;3,57;6,35;59388
191;2,88;1,22;14951
898;8,25;4,45;1280
4373;1,00;0,47;73
9968;1,90;0,68;4200
4066;6,53;1,51;22243
15410;1,65;0,77;19428
17121;5,16;3,15;50879
4901;10,88;5,67;1441
5017;3,75;39,73;48579
10042;0,00;2,00;156
17457;7,00;2,34;339
7516;0,48;1,66;30848
1524;6,50;2,05;503
175;4,38;15,24;2621
8354;2,63;1,50;2271
4329;6,63;2,57;520
17637;0,00;3,95;15870
18936;25,00;9,57;475851
4167;1,04;3,63;2040
11890;3,00;0,00;63
16960;2,50;0,25;93
9479;1,86;0,42;4362
7798;1,64;1,37;1045
1737;4,17;14,18;60666
5877;3,00;1,38;1179
4917;0,00;37,59;693
15241;0,00;-1,75;2085
18460;0,00;2,50;21
2351;4,23;1,59;5004
18058;5,50;0,00;137
11210;3,94;12,49;8426
4281;0,50;2,01;6067
76;2,94;4,06;3715
2260;3,27;0,57;57259
3388;1,63;3,08;807
5190;0,66;6,32;231678
2132;2,87;6,06;8360
13316;1,75;6,56;420
2581;2,64;4,09;5529
8387;0,00;8,00;161
11930;1,75;3,75;193
18065;0,00;0,20;548
15984;1,00;0,00;31
9259;0,00;1,00;21
15173;4,14;1,62;16585
9922;1,79;2,29;37934
3207;42,61;3,03;92638
7699;1,00;11,20;1023
7442;4,28;0,85;4757
7949;3,03;0,37;1746
7072;3,62;2,04;3135
1908;0,75;3,59;51044
4052;1,38;1,18;7620
8091;2,89;3,04;43820
15124;6,37;2,40;63273
7453;0,72;0,23;5865
17087;14,00;12,25;701
4570;6,75;6,13;10021
13532;1,63;3,00;4515
18497;3,50;1,25;163
11372;19,88;51,00;1031
3163;0,00;13,66;2041
3778;2,01;6,89;8115
4748;18,00;6,81;1957
17461;12,56;10,79;2465
6958;1,00;0,00;35
10665;0,00;2,10;1034
15792;0,00;0,00;11
5382;6,00;5,77;15403
17232;4,09;1,12;3052
5945;0,00;9,56;1009
4857;4,24;1,04;6342
5624;4,57;5,28;2920
17651;3,09;1,88;17884
890;3,69;2,30;8806
868;4,80;2,25;1187
7470;0,00;9,30;276
15192;14,50;0,00;292
17784;3,91;2,59;2907
18606;3,00;3,38;190
16834;3,00;0,80;740
15962;5,19;4,90;18275
7406;0,75;0,00;23
11239;6,73;1,39;6463
18467;1,00;2,16;247
5751;5,35;16,38;1175
7853;3,33;0,25;443
7887;2,00;2,38;399
40;4,41;7,39;12492
1290;0,75;1,00;41
2108;4,94;3,35;32630
3489;1,81;4,23;3346
12518;1,25;3,51;1166
1753;9,22;2,12;6131
3125;0,75;1,25;65
2798;1,09;0,39;616
6544;6,80;0,00;177
3449;5,00;0,76;1383
1158;2,84;1,31;837
5966;1,50;1,25;138
119;0,00;5,75;179
9884;0,00;21,11;3051
17881;1,51;1,88;590
7228;0,00;0,49;4259
7524;0,89;0,51;5809
10202;0,32;7,61;15322
17304;9,38;1,24;4069
5540;0,57;0,27;467
2717;5,50;0,00;215
16779;4,76;2,49;6050
13302;5,15;2,51;634376
17902;5,15;0,87;1708
12200;0,50;1,01;490
3140;2,75;4,77;24273
