Nome/Dono;	URL;	Linguagem Primária;	Pull Requests Aceitas;	Releases;	Issues Fechadas;	Total de Issues;	Data de Criação;	Última Atualização;
hammerjs/hammer.js;	https://github.com/hammerjs/hammer.js;	JavaScript;	114;	0;	753;	1005;	2012-03-02T12:58:28Z;	2020-05-10T14:42:31Z;
elsewhencode/project-guidelines;	https://github.com/elsewhencode/project-guidelines;	JavaScript;	102;	0;	24;	36;	2017-06-30T10:17:55Z;	2020-05-11T00:58:16Z;
GoogleChrome/lighthouse;	https://github.com/GoogleChrome/lighthouse;	JavaScript;	3043;	54;	6352;	6766;	2016-03-08T01:03:11Z;	2020-05-11T01:11:13Z;
Reactive-Extensions/RxJS;	https://github.com/Reactive-Extensions/RxJS;	JavaScript;	520;	34;	643;	874;	2012-01-07T00:31:41Z;	2020-05-10T22:31:12Z;
Meituan-Dianping/mpvue;	https://github.com/Meituan-Dianping/mpvue;	JavaScript;	64;	19;	1256;	1658;	2018-03-07T03:09:25Z;	2020-05-11T01:32:22Z;
LisaDziuba/Awesome-Design-Tools;	https://github.com/LisaDziuba/Awesome-Design-Tools;	JavaScript;	256;	0;	21;	24;	2019-02-12T13:55:30Z;	2020-05-10T23:29:11Z;
mochajs/mocha;	https://github.com/mochajs/mocha;	JavaScript;	951;	48;	2246;	2502;	2011-03-07T18:44:25Z;	2020-05-10T12:42:06Z;
atlassian/react-beautiful-dnd;	https://github.com/atlassian/react-beautiful-dnd;	JavaScript;	469;	66;	845;	1039;	2017-08-09T03:37:15Z;	2020-05-10T19:28:29Z;
pugjs/pug;	https://github.com/pugjs/pug;	JavaScript;	485;	4;	2200;	2417;	2010-06-23T01:05:42Z;	2020-05-10T21:50:21Z;
petkaantonov/bluebird;	https://github.com/petkaantonov/bluebird;	JavaScript;	284;	123;	1057;	1113;	2013-09-07T19:39:57Z;	2020-05-11T01:56:53Z;
nefe/You-Dont-Need-jQuery;	https://github.com/nefe/You-Dont-Need-jQuery;	JavaScript;	158;	1;	57;	64;	2015-11-21T16:02:26Z;	2020-05-10T22:31:54Z;
MrRio/jsPDF;	https://github.com/MrRio/jsPDF;	JavaScript;	570;	23;	1490;	1692;	2009-12-06T14:56:32Z;	2020-05-11T01:45:35Z;
bvaughn/react-virtualized;	https://github.com/bvaughn/react-virtualized;	JavaScript;	432;	0;	684;	957;	2015-11-03T00:48:07Z;	2020-05-11T01:28:09Z;
paularmstrong/normalizr;	https://github.com/paularmstrong/normalizr;	JavaScript;	92;	24;	264;	279;	2014-08-20T08:41:38Z;	2020-05-10T23:42:25Z;
typicode/husky;	https://github.com/typicode/husky;	JavaScript;	135;	33;	369;	497;	2014-06-23T12:14:21Z;	2020-05-11T00:31:59Z;
ramda/ramda;	https://github.com/ramda/ramda;	JavaScript;	1172;	23;	1252;	1437;	2013-06-21T20:32:35Z;	2020-05-11T01:36:19Z;
enzymejs/enzyme;	https://github.com/enzymejs/enzyme;	JavaScript;	629;	0;	1404;	1623;	2015-11-10T21:45:38Z;	2020-05-10T22:30:24Z;
jlmakes/scrollreveal;	https://github.com/jlmakes/scrollreveal;	JavaScript;	31;	0;	444;	453;	2014-01-16T17:37:20Z;	2020-05-11T00:54:02Z;
react-native-elements/react-native-elements;	https://github.com/react-native-elements/react-native-elements;	JavaScript;	669;	53;	1337;	1419;	2016-09-08T14:21:41Z;	2020-05-11T00:52:47Z;
Advanced-Frontend/Daily-Interview-Question;	https://github.com/Advanced-Frontend/Daily-Interview-Question;	JavaScript;	14;	0;	198;	350;	2019-01-19T10:49:00Z;	2020-05-11T01:21:22Z;
postcss/autoprefixer;	https://github.com/postcss/autoprefixer;	JavaScript;	234;	148;	996;	1017;	2013-03-14T05:04:51Z;	2020-05-10T23:54:34Z;
verekia/js-stack-from-scratch;	https://github.com/verekia/js-stack-from-scratch;	JavaScript;	55;	1;	118;	156;	2016-10-02T13:31:23Z;	2020-05-10T22:31:19Z;
getredash/redash;	https://github.com/getredash/redash;	JavaScript;	2373;	94;	1510;	1886;	2013-10-28T13:19:39Z;	2020-05-11T01:06:08Z;
jhipster/generator-jhipster;	https://github.com/jhipster/generator-jhipster;	JavaScript;	5268;	0;	5711;	5798;	2013-10-21T20:07:22Z;	2020-05-10T23:22:28Z;
graphql/graphql-js;	https://github.com/graphql/graphql-js;	JavaScript;	1463;	107;	738;	819;	2015-06-30T12:16:50Z;	2020-05-11T00:55:59Z;
zeit/pkg;	https://github.com/zeit/pkg;	JavaScript;	47;	22;	315;	803;	2016-08-08T19:41:59Z;	2020-05-11T01:56:40Z;
JacksonTian/fks;	https://github.com/JacksonTian/fks;	JavaScript;	81;	0;	17;	26;	2012-10-17T05:55:16Z;	2020-05-11T01:40:50Z;
fabricjs/fabric.js;	https://github.com/fabricjs/fabric.js;	JavaScript;	1370;	99;	4307;	4526;	2010-06-09T22:24:38Z;	2020-05-11T01:05:58Z;
mojs/mojs;	https://github.com/mojs/mojs;	JavaScript;	37;	14;	119;	174;	2014-06-26T08:49:14Z;	2020-05-10T18:58:50Z;
alsotang/node-lessons;	https://github.com/alsotang/node-lessons;	JavaScript;	26;	0;	43;	125;	2014-10-05T09:57:08Z;	2020-05-10T10:21:58Z;
laurent22/joplin;	https://github.com/laurent22/joplin;	JavaScript;	608;	122;	2076;	2268;	2017-01-16T21:49:41Z;	2020-05-11T01:34:17Z;
marktext/marktext;	https://github.com/marktext/marktext;	JavaScript;	735;	30;	994;	1319;	2017-11-12T16:05:25Z;	2020-05-11T01:33:38Z;
parse-community/parse-server;	https://github.com/parse-community/parse-server;	JavaScript;	2359;	76;	3556;	3651;	2016-01-28T18:29:14Z;	2020-05-11T00:40:08Z;
pcottle/learnGitBranching;	https://github.com/pcottle/learnGitBranching;	JavaScript;	336;	0;	281;	315;	2012-08-13T22:36:09Z;	2020-05-11T01:55:24Z;
odoo/odoo;	https://github.com/odoo/odoo;	JavaScript;	6065;	0;	11054;	12313;	2014-05-13T15:38:58Z;	2020-05-11T00:14:06Z;
vuejs/vue-devtools;	https://github.com/vuejs/vue-devtools;	JavaScript;	193;	33;	663;	878;	2014-09-29T03:52:07Z;	2020-05-11T00:49:03Z;
viatsko/awesome-vscode;	https://github.com/viatsko/awesome-vscode;	JavaScript;	210;	0;	19;	32;	2016-02-07T23:02:45Z;	2020-05-10T20:45:09Z;
denysdovhan/wtfjs;	https://github.com/denysdovhan/wtfjs;	JavaScript;	57;	0;	29;	65;	2017-07-14T15:42:12Z;	2020-05-10T23:59:50Z;
localForage/localForage;	https://github.com/localForage/localForage;	JavaScript;	259;	22;	460;	614;	2013-10-31T00:10:06Z;	2020-05-10T22:30:14Z;
jamiebuilds/the-super-tiny-compiler;	https://github.com/jamiebuilds/the-super-tiny-compiler;	JavaScript;	20;	0;	0;	0;	2016-03-11T04:19:18Z;	2020-05-11T01:53:46Z;
react-spring/react-spring;	https://github.com/react-spring/react-spring;	JavaScript;	208;	4;	634;	703;	2018-03-07T15:39:32Z;	2020-05-11T01:43:25Z;
BoostIO/Boostnote;	https://github.com/BoostIO/Boostnote;	JavaScript;	1058;	15;	1818;	2248;	2016-03-06T17:06:07Z;	2020-05-10T18:44:30Z;
verekia/js-stack-from-scratch;	https://github.com/verekia/js-stack-from-scratch;	JavaScript;	55;	1;	118;	156;	2016-10-02T13:31:23Z;	2020-05-10T22:31:19Z;
segmentio/nightmare;	https://github.com/segmentio/nightmare;	JavaScript;	251;	1;	1056;	1206;	2014-04-05T22:19:51Z;	2020-05-10T14:16:39Z;
chenglou/react-motion;	https://github.com/chenglou/react-motion;	JavaScript;	144;	4;	241;	386;	2015-06-11T07:38:23Z;	2020-05-10T16:18:33Z;
rollup/rollup;	https://github.com/rollup/rollup;	JavaScript;	1075;	159;	2068;	2254;	2015-05-14T22:26:28Z;	2020-05-11T01:45:41Z;
