login do usuario avaliado;Quantidade de reações nas issues;Popularidade do repositório;Média de watchers
joeeames;11.10;3.12;0
sruupl;42.00;6.00;0
tangrams;0;0;0
michaelsboost;3.71;1.43;0
jonhilt;3.88;1.48;0
rolffokkens;7.36;2.36;0
schedutron;1.55;0.25;0
css-modules;0;0;0
evancz;165.76;9.18;0
UnquietCode;3.40;1.47;0
sindresorhus;189.87;3.63;0
qpliu;3.19;1.16;0
nicka;4.02;1.35;0
madetech;0;0;0
facebookarchive;0;0;0
higgsfield;582.00;22.22;0
rzander;22.86;6.43;0
poshaughnessy;1.34;1.33;0
cuilimeng;10.55;2.09;0
igravitystudios;0;0;0
awailly;5.43;2.27;0
TheCodeArtist;9.92;1.67;0
Ekultek;96.96;6.89;0
Wasim37;10.66;1.36;0
shirakawas;34.50;5.25;0
yuchenyang1994;11.00;1.13;0
metaflop;0;0;0
kaistseo;152.00;18.00;0
kjdion84;78.50;11.50;0
clue;62.66;3.83;0
AlloVince;21.15;3.63;0
GcsSloop;437.03;19.09;0
DiscipleD;9.78;2.17;0
davidchambers;5.53;2.65;0
rolandjitsu;302.35;13.60;0
lruiz;26.83;3.50;0
python-otr;0;0;0
tandasat;60.71;8.10;0
jmhessel;8.97;1.90;0
mathewbyrne;24.89;3.11;0
darkoperator;48.41;5.87;0
superscriptjs;0;0;0
thomai;28.36;2.91;0
livereload;0;0;0
flash-dog;0;0;0
iqingting;4.07;0.26;0
tsaarni;5.72;1.52;0
lukechilds;27.88;1.65;0
alpha-miner;0;0;0
Mybridge;0;0;0
hczhcz;8.30;2.23;0
ERS-HCL;0;0;0
OnsenUI;0;0;0
o1298098;21.29;1.71;0
PaloAltoNetworks;0;0;0
cactus;0;0;0
haskell;0;0;0
distillpub;0;0;0
gunnarmorling;54.43;2.83;0
inconshreveable;619.81;22.77;0
PeerConnect;77.00;2.00;0
germanattanasio;40.18;12.69;0
flexdinesh;375.98;6.16;0
corbt;11.53;1.16;0
MoneyFox;0;0;0
gardener;0;0;0
cobblau;5.94;1.21;0
PhABC;9.17;2.96;0
kyrylo;1.45;1.16;0
caspar-chen;71.11;8.67;0
benface;35.07;1.70;0
hyowonha;27.67;3.33;0
mariadb-corporation;0;0;0
adminfaces;0;0;0
bigcommerce;0;0;0
rashidlaasri;217.00;10.50;0
ikhsan;10.70;1.64;0
Nodeclipse;0;0;0
ludc;15.58;2.50;0
zygmuntz;56.13;5.88;0
Martin404;26.75;5.50;0
mgutz;20.79;2.71;0
akosma;63.25;3.97;0
tangxuehua;109.08;18.58;0
coldnew;1.17;1.10;0
taniarascia;213.85;11.06;0
seasonstar;99.63;7.05;0
ALEXZZZ9;50.17;7.17;0
laracasts;110.95;7.24;0
jfqd;0.36;0.54;0
norgepaul;30.00;11.13;0
wnagzihxa1n;42.50;5.75;0
VitaliiTsilnyk;5.61;1.39;0
CityOfZion;0;0;0
mwlang;3.54;1.38;0
zchee;0.69;0.42;0
rlamasb;17.22;3.33;0
gozman;15.59;3.12;0
sassoftware;0;0;0
alexkay;112.43;10.07;0
xchataqua;0;0;0
jarulraj;89.04;7.32;0
mulesoft;0;0;0
xmartlabs;0;0;0
JiaweiZhuang;5.25;1.33;0
crisbal;9.42;2.15;0
IonicaBizau;10.05;1.55;0
AesopInteractive;0;0;0
seba-1511;25.93;2.73;0
react-native-vietnam;0;0;0
btk;2.12;1.22;0
jaredmcqueen;38.50;5.75;0
boostorg;0;0;0
benjamn;62.40;3.36;0
barisgecer;85.00;10.50;0
okta;0;0;0
yeggor;23.57;2.71;0
stylewarning;20.71;2.90;0
teadocs;0;0;0
dnnrly;10.19;1.06;0
gangly;3.94;1.02;0
phutchins;2.68;1.43;0
atomicpages;11.49;0.98;0
heshenxian1;2.21;0.45;0
ccnmtl;0;0;0
mattneub;82.26;10.32;0
locuslab;0;0;0
huihut;338.89;17.96;0
hipache;0;0;0
junyanz;1517.58;64.23;0
teivah;109.19;3.56;0
CTCaer;54.76;6.15;0
apitrace;0;0;0
tychxn;139.43;5.79;0
Akagi201;8.68;0.89;0
GeekyAnts;0;0;0
thiagoalessio;323.57;17.71;0
mafaca;83.23;7.54;0
igrigorik;333.86;20.24;0
SheHuan;73.82;2.51;0
bitshares;0;0;0
bvaughn;191.21;7.18;0
remy;5.45;1.40;0
visionml;0;0;0
ParticleCore;580.50;75.25;0
subethaedit;0;0;0
maoberlehner;23.61;1.82;0
googleprojectzero;0;0;0
gajus;56.68;1.49;0
mikespook;81.52;7.98;0
hanford;17.54;1.39;0
