Nome/Dono;	URL;	Linguagem Primária;	Pull Requests Aceitas;	Releases;	Issues Fechadas;	Total de Issues;	Data de Criação;	Última Atualização;
jesseduffield/lazydocker;	https://github.com/jesseduffield/lazydocker;	Go;	78;	24;	72;	131;	2019-05-18T08:53:50Z;	2020-05-10T17:44:32Z;
sirupsen/logrus;	https://github.com/sirupsen/logrus;	Go;	363;	9;	438;	515;	2013-10-16T19:08:55Z;	2020-05-10T13:26:03Z;
joewalnes/websocketd;	https://github.com/joewalnes/websocketd;	Go;	83;	6;	250;	275;	2013-02-14T14:52:55Z;	2020-05-11T01:42:32Z;
tsenart/vegeta;	https://github.com/tsenart/vegeta;	Go;	128;	62;	287;	321;	2013-08-13T11:45:21Z;	2020-05-10T17:34:31Z;
rancher/rancher;	https://github.com/rancher/rancher;	Go;	4033;	522;	19643;	22282;	2014-11-07T20:49:31Z;	2020-05-11T01:46:44Z;
yudai/gotty;	https://github.com/yudai/gotty;	Go;	33;	16;	118;	192;	2015-08-16T09:48:33Z;	2020-05-10T20:24:39Z;
go-delve/delve;	https://github.com/go-delve/delve;	Go;	728;	6;	966;	1066;	2014-05-20T19:24:43Z;	2020-05-10T07:17:28Z;
urfave/cli;	https://github.com/urfave/cli;	Go;	463;	21;	446;	516;	2013-07-13T19:32:06Z;	2020-05-10T23:13:24Z;
cayleygraph/cayley;	https://github.com/cayleygraph/cayley;	Go;	370;	15;	389;	459;	2014-06-05T18:49:41Z;	2020-05-10T14:03:16Z;
golang/dep;	https://github.com/golang/dep;	Go;	682;	12;	1087;	1350;	2016-10-07T00:04:51Z;	2020-05-11T01:37:37Z;
zyedidia/micro;	https://github.com/zyedidia/micro;	Go;	386;	25;	865;	1160;	2016-03-11T02:06:28Z;	2020-05-11T00:03:54Z;
dgraph-io/dgraph;	https://github.com/dgraph-io/dgraph;	Go;	2083;	59;	1914;	2168;	2015-08-25T07:15:56Z;	2020-05-10T23:49:58Z;
helm/charts;	https://github.com/helm/charts;	Go;	12296;	0;	5330;	5598;	2015-11-24T17:05:28Z;	2020-05-10T22:52:02Z;
micro/go-micro;	https://github.com/micro/go-micro;	Go;	846;	75;	541;	615;	2015-01-13T23:30:18Z;	2020-05-11T01:37:21Z;
buger/goreplay;	https://github.com/buger/goreplay;	Go;	197;	31;	302;	480;	2013-05-30T09:29:07Z;	2020-05-11T01:37:51Z;
rancher/k3s;	https://github.com/rancher/k3s;	Go;	519;	103;	639;	1147;	2018-05-31T01:37:46Z;	2020-05-10T22:20:12Z;
tmrts/go-patterns;	https://github.com/tmrts/go-patterns;	Go;	10;	0;	10;	24;	2015-12-14T22:05:06Z;	2020-05-11T00:23:42Z;
chai2010/advanced-go-programming-book;	https://github.com/chai2010/advanced-go-programming-book;	Go;	301;	0;	143;	177;	2017-12-31T10:59:21Z;	2020-05-11T00:59:54Z;
coreybutler/nvm-windows;	https://github.com/coreybutler/nvm-windows;	Go;	44;	15;	305;	441;	2014-09-20T16:37:28Z;	2020-05-11T01:51:32Z;
valyala/fasthttp;	https://github.com/valyala/fasthttp;	Go;	186;	16;	480;	506;	2015-10-18T22:19:57Z;	2020-05-11T01:27:56Z;
spf13/viper;	https://github.com/spf13/viper;	Go;	138;	11;	223;	518;	2014-04-02T14:33:33Z;	2020-05-10T21:55:45Z;
ehang-io/nps;	https://github.com/ehang-io/nps;	Go;	59;	56;	424;	468;	2018-11-04T13:22:51Z;	2020-05-11T01:36:44Z;
gorilla/websocket;	https://github.com/gorilla/websocket;	Go;	105;	7;	386;	403;	2013-10-16T16:41:46Z;	2020-05-11T01:52:55Z;
gorilla/mux;	https://github.com/gorilla/mux;	Go;	159;	13;	303;	314;	2012-10-02T21:32:24Z;	2020-05-11T00:10:59Z;
xtaci/kcptun;	https://github.com/xtaci/kcptun;	Go;	10;	87;	710;	752;	2016-02-26T09:54:46Z;	2020-05-10T11:50:07Z;
revel/revel;	https://github.com/revel/revel;	Go;	380;	22;	839;	917;	2011-12-09T04:10:26Z;	2020-05-11T00:11:02Z;
goharbor/harbor;	https://github.com/goharbor/harbor;	Go;	4490;	99;	5862;	6511;	2016-01-28T21:10:28Z;	2020-05-10T21:16:19Z;
txthinking/brook;	https://github.com/txthinking/brook;	Go;	7;	27;	627;	652;	2017-03-18T03:00:28Z;	2020-05-11T01:09:02Z;
kubernetes/kops;	https://github.com/kubernetes/kops;	Go;	4580;	83;	3435;	3726;	2016-06-27T22:01:15Z;	2020-05-11T01:43:00Z;
