Nome/Dono;	URL;	Linguagem Primária;	Pull Requests Aceitas;	Releases;	Issues Fechadas;	Total de Issues;	Data de Criação;	Última Atualização;
EventStore/EventStore;	https://github.com/EventStore/EventStore;	C#;	1133;	86;	903;	1069;	2012-09-17T17:22:49Z;	2020-05-09T06:00:39Z;
OptiKey/OptiKey;	https://github.com/OptiKey/OptiKey;	C#;	246;	103;	301;	358;	2014-07-14T21:23:52Z;	2020-05-09T22:44:56Z;
dotnetcore/CAP;	https://github.com/dotnetcore/CAP;	C#;	73;	29;	459;	460;	2016-12-14T09:40:20Z;	2020-05-10T21:41:06Z;
PrismLibrary/Prism;	https://github.com/PrismLibrary/Prism;	C#;	539;	24;	1402;	1421;	2015-02-25T20:54:32Z;	2020-05-10T13:45:34Z;
EduardoPires/EquinoxProject;	https://github.com/EduardoPires/EquinoxProject;	C#;	8;	0;	115;	133;	2016-12-14T04:36:58Z;	2020-05-10T20:04:29Z;
jasontaylordev/NorthwindTraders;	https://github.com/jasontaylordev/NorthwindTraders;	C#;	24;	0;	159;	205;	2016-10-11T10:52:28Z;	2020-05-10T20:11:28Z;
brandonlw/Psychson;	https://github.com/brandonlw/Psychson;	C#;	0;	1;	51;	216;	2014-09-26T15:32:24Z;	2020-05-08T19:58:29Z;
serilog/serilog;	https://github.com/serilog/serilog;	C#;	323;	11;	969;	997;	2013-02-14T11:44:03Z;	2020-05-09T16:44:20Z;
abpframework/abp;	https://github.com/abpframework/abp;	C#;	1050;	55;	2183;	2698;	2016-12-03T22:56:24Z;	2020-05-11T01:18:02Z;
aalhour/C-Sharp-Algorithms;	https://github.com/aalhour/C-Sharp-Algorithms;	C#;	57;	1;	35;	58;	2015-05-14T11:56:48Z;	2020-05-11T01:39:39Z;
MathewSachin/Captura;	https://github.com/MathewSachin/Captura;	C#;	207;	27;	171;	266;	2015-08-29T10:30:45Z;	2020-05-11T01:41:16Z;
Jimmey-Jiang/Common.Utility;	https://github.com/Jimmey-Jiang/Common.Utility;	C#;	3;	0;	13;	15;	2017-10-10T07:56:02Z;	2020-05-10T15:43:51Z;
win-acme/win-acme;	https://github.com/win-acme/win-acme;	C#;	202;	91;	1238;	1263;	2015-11-12T20:56:22Z;	2020-05-09T08:10:28Z;
Unity-Technologies/FPSSample;	https://github.com/Unity-Technologies/FPSSample;	C#;	0;	1;	25;	99;	2018-10-17T09:03:54Z;	2020-05-10T15:19:45Z;
akkadotnet/akka.net;	https://github.com/akkadotnet/akka.net;	C#;	2190;	51;	1509;	1823;	2013-12-29T14:17:38Z;	2020-05-09T23:40:44Z;
microsoft/ApplicationInspector;	https://github.com/microsoft/ApplicationInspector;	C#;	104;	37;	80;	91;	2019-10-07T20:30:29Z;	2020-05-10T23:11:17Z;
sta/websocket-sharp;	https://github.com/sta/websocket-sharp;	C#;	5;	0;	120;	526;	2010-10-18T12:51:34Z;	2020-05-11T00:56:55Z;
itinance/react-native-fs;	https://github.com/itinance/react-native-fs;	C#;	189;	36;	263;	603;	2015-05-08T17:04:15Z;	2020-05-10T18:17:59Z;
windows-toolkit/WindowsCommunityToolkit;	https://github.com/windows-toolkit/WindowsCommunityToolkit;	C#;	1201;	17;	1503;	1769;	2016-06-17T21:29:46Z;	2020-05-11T00:04:07Z;
react-native-community/react-native-linear-gradient;	https://github.com/react-native-community/react-native-linear-gradient;	C#;	105;	5;	246;	316;	2015-03-31T17:44:40Z;	2020-05-09T08:25:51Z;
QuantConnect/Lean;	https://github.com/QuantConnect/Lean;	C#;	2271;	8;	1436;	1691;	2014-11-28T04:20:19Z;	2020-05-10T20:20:39Z;
RicoSuter/NSwag;	https://github.com/RicoSuter/NSwag;	C#;	644;	314;	1261;	2086;	2015-09-02T19:11:57Z;	2020-05-10T20:58:02Z;
microsoft/MixedRealityToolkit-Unity;	https://github.com/microsoft/MixedRealityToolkit-Unity;	C#;	3446;	40;	3422;	3904;	2016-01-28T18:54:58Z;	2020-05-10T21:03:23Z;
moq/moq4;	https://github.com/moq/moq4;	C#;	364;	0;	554;	572;	2012-03-11T21:09:02Z;	2020-05-10T20:30:42Z;
Unity-Technologies/EntityComponentSystemSamples;	https://github.com/Unity-Technologies/EntityComponentSystemSamples;	C#;	0;	0;	128;	142;	2018-03-17T08:56:44Z;	2020-05-09T22:55:57Z;
migueldeicaza/gui.cs;	https://github.com/migueldeicaza/gui.cs;	C#;	94;	0;	144;	257;	2017-12-11T03:23:45Z;	2020-05-10T12:12:00Z;
